year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2012,Ford,Fusion,SEL,automatic,California,58776.0,white,gray,the hertz corporation,11200.0
2011,BMW,3 Series,328i,automatic,California,21096.0,white,—,financial services remarketing (lease),24500.0
2009,Chrysler,Town and Country,LX,automatic,California,95305.0,white,gray,v/m auto broker,5700.0
2012,Mercedes-Benz,M-Class,ML350 4MATIC,automatic,California,49014.0,—,gray,mercedes-benz financial services,32250.0
1998,Honda,Accord,EX,automatic,California,287017.0,white,beige,aaero sweet corporation,1150.0
2003,Jeep,Liberty,Sport,automatic,California,123954.0,green,beige,trade in solutions irvine,3600.0
2013,Nissan,Altima,2.5,automatic,California,47587.0,red,black,jpmorgan chase bank n.a.,12500.0
2010,Volkswagen,Jetta,Limited Edition PZEV,automatic,California,111028.0,—,black,vw credit,4500.0
2005,MINI,Cooper,Base,automatic,California,126850.0,blue,—,e/e auto wholesale,3600.0
2013,BMW,6 Series Gran Coupe,640i,automatic,California,33756.0,white,—,financial services remarketing (lease),49700.0
2013,Ford,Escape,SE,automatic,California,64958.0,white,gray,the hertz corporation,13500.0
2011,Toyota,Sienna,XLE 8-Passenger,automatic,California,88751.0,white,beige,the motor car group inc,20000.0
2006,Suzuki,Forenza,Base,automatic,California,117675.0,gold,gray,aaero sweet corporation,1500.0
2012,Audi,A4,2.0T Premium quattro,automatic,California,12454.0,silver,black,high bid trading co inc,22750.0
2001,Mercedes-Benz,CL-Class,CL500,automatic,California,94336.0,black,black,autobahn motors,7500.0
2012,Mercedes-Benz,CLS-Class,CLS63 AMG,automatic,California,12535.0,black,black,mercedes-benz usa,54000.0
2000,honda,odyssey,ex,automatic,California,139702.0,white,gray,acura of concord,2450.0
2011,Ford,Fiesta,SE,automatic,California,69821.0,white,beige,james family auto sales,6800.0
2013,Ford,Fiesta,SE,automatic,California,42286.0,silver,black,ford motor credit company llc pd,9200.0
2004,Lexus,LS 430,Base,automatic,California,132052.0,silver,gray,i auto sales inc,9600.0
2012,Jeep,Liberty,Sport,automatic,California,44163.0,white,black,dtg operations inc,14500.0
2013,Ford,Focus,SE,automatic,California,32780.0,black,black,avis corporation,11400.0
2005,Toyota,Avalon,Limited,automatic,California,90199.0,silver,black,m and m auto sales,8300.0
2004,Audi,A4,3.0 quattro,automatic,California,111965.0,gray,black,lobel financial corp,3300.0
2007,Chrysler,300,Touring,automatic,California,26659.0,silver,gray,gosch hyundai,11400.0
2012,Ford,Fusion,SEL,automatic,California,60820.0,white,gray,ge fleet services for itself/servicer,11250.0
2006,Toyota,Camry,LE,automatic,California,144915.0,white,tan,enterprise car sales/orange,4800.0
2013,Audi,A6,2.0T Premium Plus quattro,automatic,California,23247.0,white,brown,volkswagen credit inc/sc,30500.0
2014,Kia,Rio,LX,automatic,California,25944.0,black,gray,enterprise vehicle exchange / tra / rental / tulsa,7500.0
2013,Nissan,Altima,2.5,UNKNOWN,California,30929.0,gray,black,avis corporation,12500.0
2013,Ford,Focus,SE,automatic,California,54719.0,white,black,the hertz corporation,9600.0
2011,Hyundai,Sonata,GLS,automatic,California,55604.0,gold,beige,hyundai buybacks,8400.0
2011,Nissan,Leaf,SV,automatic,California,30257.0,—,beige,nissan-infiniti lt,7250.0
2012,Mercedes-Benz,E-Class,E350 Luxury,automatic,California,12459.0,—,off-white,mercedes-benz financial services,29000.0
2010,Toyota,Corolla,S,automatic,California,69397.0,gray,black,infiniti of montclair,10100.0
2006,Hyundai,Tucson,Limited,automatic,California,125888.0,black,tan,a-l financial corporation,600.0
2013,Dodge,Grand Caravan,SXT,automatic,California,66330.0,gold,black,dtg operations inc,11000.0
2012,Lexus,IS 250,Base,automatic,California,33664.0,silver,gray,lexus financial services,19500.0
2003,Lincoln,LS,Premium,automatic,California,95782.0,white,beige,lobel financial corp,2000.0
2012,Kia,Optima,Hybrid,automatic,California,34874.0,gray,black,kia motors finance,13700.0
2013,Nissan,Leaf,SV,automatic,California,13457.0,—,black,nissan motor acceptance corporation,11500.0
2014,Ford,Escape,Titanium,automatic,California,34204.0,black,beige,ford motor credit company,20400.0
2013,Kia,Rio,SX,automatic,California,604.0,blue,black,kia motors america  inc,14000.0
2009,Nissan,Quest,3.5 SL,automatic,California,66321.0,blue,gray,santander consumer,8000.0
1991,BMW,8 Series,850i,automatic,California,106148.0,white,gray,rover of orange,6750.0
2013,Infiniti,G Coupe,G37 Sport,automatic,California,26460.0,gray,black,nissan infiniti lt,25000.0
2012,Honda,Accord,LX,automatic,California,35151.0,gray,gray,ahfc/honda lease trust/hvt  inc.,11400.0
2014,Nissan,Sentra,SV,automatic,California,18350.0,blue,black,enterprise vehicle exchange / tra / rental / tulsa,9800.0
2004,Nissan,Murano,SL,automatic,California,193537.0,silver,gray,time finance co,3100.0
2006,Buick,LaCrosse,CXS,automatic,California,107861.0,silver,black,arrowhead auto group inc,6500.0
2009,Chevrolet,HHR,LS,automatic,California,89819.0,black,black,credit acceptance corp/vrs/southfield,4800.0
2014,Mercedes-Benz,CLA-Class,CLA250,automatic,California,14392.0,white,black,high bid trading co inc,25000.0
2005,Volvo,S40,2.4i,automatic,California,121174.0,silver,gray,desert fleet lease,3600.0
2012,Hyundai,Sonata,GLS,automatic,California,42665.0,blue,gray,hyundai motor america/co car,11600.0
2011,Mercedes-Benz,C-Class,C300 Sport,automatic,California,37854.0,white,gray,mercedes-benz financial services,19500.0
2013,Chevrolet,Impala,LT Fleet,automatic,California,44478.0,black,black,enterprise vehicle exchange/orange,10700.0
2013,Hyundai,Elantra,GLS,automatic,California,33282.0,red,tan,avis corporation,11600.0
2013,Nissan,Leaf,SV,automatic,California,19541.0,red,gray,nissan-infiniti lt,8400.0
2011,Ford,Escape,XLT,UNKNOWN,California,80849.0,white,gray,ge fleet services for itself/servicer,11100.0
2015,Audi,A3,1.8 TFSI Premium,automatic,California,13196.0,black,gray,enterprise vehicle exchange / tra / rental / tulsa,17200.0
2005,UNKNOWN,UNKNOWN,UNKNOWN,automatic,California,82277.0,gold,beige,skyhigh remarketing inc,16300.0
2011,Mazda,Mazda2,Touring,automatic,California,12528.0,silver,black,aaero sweet company,9300.0
2002,Mercedes-Benz,C-Class,C320,automatic,California,93229.0,black,black,volkswagen santa monica,3100.0
2008,Scion,tC,Base,automatic,California,77833.0,burgundy,black,skyhigh remarketing inc,8250.0
2007,Nissan,Sentra,2,automatic,California,76329.0,blue,gray,california auto exchange,6700.0
2012,Mercedes-Benz,C-Class,C250 Sport,automatic,California,30563.0,—,black,mercedes-benz financial services,21500.0
2015,Nissan,Altima,2.5 S,automatic,California,12978.0,red,black,enterprise veh exchange/rental,16600.0
2005,chrysler,pacifica,awd v6 touring,manual,California,57890.0,black,black,felix chevrolet & cadillac,1200.0
2006,Mercedes-Benz,R-Class,R350,automatic,California,74773.0,black,black,american road leasing inc,9000.0
2008,BMW,3 Series,335i,UNKNOWN,California,105788.0,white,—,champion chrysler jeep dodge,10000.0
2013,Kia,Sportage,LX,automatic,California,40331.0,gray,gray,avis rac/san leandro,15200.0
1993,Honda,Accord,EX,automatic,California,168792.0,white,blue,north county hyundai,1200.0
2009,BMW,X5,xDrive48i,automatic,California,47403.0,white,black,onemain rem/m&m auto traders,25500.0
2012,Ford,Fiesta,SE,automatic,California,54292.0,gray,black,ford motor credit company llc pd,8900.0
2013,Toyota,Corolla,S Special Edition,automatic,California,54251.0,blue,gray,fox rent a car,10500.0
2013,Nissan,Altima,2.5,automatic,California,8154.0,black,black,nissan motor acceptance corporation,18250.0
2014,Chrysler,200,LX,automatic,California,22220.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,2200.0
2013,Ford,Focus,SE,automatic,California,25285.0,gray,gray,gm financial,10000.0
