year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2014,Chevrolet,Impala Limited,LT Fleet,automatic,Florida,21507.0,white,black,gm remarketing,13800.0
2011,Toyota,Corolla,LE,automatic,Florida,23634.0,black,beige,world omni financial corporation,11400.0
2007,Saturn,Aura,XE,automatic,Florida,140350.0,silver,gray,autonation chevrolet west colonial,3300.0
2015,Chrysler,200,C,automatic,Florida,2789.0,white,beige,american fleet leasing,15200.0
2012,Honda,Accord,SE,automatic,Florida,28053.0,white,beige,jackson lease inc,14700.0
2005,Buick,LaCrosse,CXS,automatic,Florida,147787.0,black,black,innovate loan servicing corp,1800.0
2011,Mitsubishi,Outlander Sport,ES,automatic,Florida,90435.0,gray,black,primeritus remarketing/crescent bank & trust,7100.0
2013,Chevrolet,Black Diamond Avalanche,LS,automatic,Florida,38055.0,black,black,onesource/kendall toyota,25100.0
2007,Audi,A3,2.0T,manual,Florida,60173.0,white,tan,harbor nissan,10000.0
2014,Chevrolet,Impala,LS Fleet,automatic,Florida,22985.0,gold,gray,gm remarketing,19400.0
2011,Mazda,CX-9,Touring,automatic,Florida,81010.0,silver,black,dab auto world & leasing,11900.0
2014,Toyota,Corolla,LE Plus,automatic,Florida,19321.0,blue,gray,world omni financial corporation,14000.0
2008,Dodge,Charger,Base,automatic,Florida,103861.0,black,gray,autonation chrysler dodge jeep ram pembroke pine,4500.0
2013,Hyundai,Sonata,GLS,automatic,Florida,63344.0,black,beige,hyundai motor finance,9600.0
2001,Toyota,Corolla,S,automatic,Florida,148224.0,blue,black,extreme auto group  llc,2500.0
2013,Ford,Focus,SE,automatic,Florida,54554.0,black,black,the hertz corporation,9100.0
2013,Hyundai,Elantra,Limited,automatic,Florida,42454.0,silver,gray,santander consumer,10700.0
2012,Nissan,Altima,2.5,automatic,Florida,10753.0,blue,black,nissan-infiniti lt,15000.0
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,automatic,Florida,38548.0,white,silver,avis budget group,18100.0
2011,Chevrolet,Express Cargo,2500,automatic,Florida,139131.0,white,gray,lease plan usa,11900.0
2007,Pontiac,Solstice,GXP,automatic,Florida,33776.0,red,black,germain toyota of naples/germain scion of naples,13900.0
2000,Ford,Focus,SE,automatic,Florida,76723.0,red,gray,remarkable auto brokers inc,1050.0
2015,UNKNOWN,UNKNOWN,UNKNOWN,automatic,Florida,11459.0,black,black,land rover palm beach,70200.0
2008,Dodge,Ram Pickup 1500,SLT,UNKNOWN,Florida,77917.0,silver,gray,first investors servicing corp,8000.0
2001,Honda,Civic,LX,automatic,Florida,132207.0,beige,—,westlake financial services,2500.0
2014,Dodge,Grand Caravan,SXT,automatic,Florida,29462.0,black,black,pv holding inc/gdp,15400.0
2009,Hyundai,Santa Fe,Limited,automatic,Florida,41928.0,green,tan,red hoagland hyundai inc,13600.0
2015,GMC,Terrain,SLE-2,automatic,Florida,10694.0,blue,black,florida auto financial group,22200.0
2012,Lexus,ES 350,Base,automatic,Florida,26345.0,silver,black,jm lexus,20400.0
1996,Chevrolet,Blazer,LS,automatic,Florida,197236.0,silver,black,autonation chevrolet airport,600.0
2013,Jeep,Wrangler,Unlimited Sport,automatic,Florida,34394.0,red,black,ez rent a car inc,24000.0
2005,Hyundai,Tucson,GL,automatic,Florida,125062.0,silver,gray,courtesy hyundai,4100.0
2011,Nissan,Maxima,3.5 SV,automatic,Florida,45226.0,silver,black,nissan-infiniti lt,17000.0
2014,Nissan,Maxima,3.5 SV,automatic,Florida,23222.0,white,black,courtney leasing inc,18200.0
2004,chrysler,pacifica,fwd,automatic,Florida,159735.0,blue,gray,automatch usa,1800.0
