year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2014,Kia,Rio,LX,UNKNOWN,Georgia,13291.0,black,gray,kia motors america  inc,11400.0
2012,Honda,Pilot,LX,automatic,Georgia,34930.0,blue,gray,ahfc/honda lease trust/hvt  inc. eot,18200.0
2006,Hyundai,Accent,GLS,automatic,Georgia,138486.0,black,tan,pra receivables management llc,2800.0
2002,Ford,Explorer,XLS,UNKNOWN,Georgia,131457.0,red,gray,nextgear capital,1500.0
2013,Chevrolet,Cruze,2LT,automatic,Georgia,38900.0,silver,black,john bleakley ford inc,12200.0
2014,Nissan,Sentra,FE+ SV,automatic,Georgia,8041.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,10400.0
2010,Chrysler,Town and Country,Touring,automatic,Georgia,62920.0,white,gray,nalley toyota of roswell,8100.0
2014,Honda,CR-V,EX-L,automatic,Georgia,14957.0,blue,gray,american honda motor company,23000.0
2014,Kia,Cadenza,Premium,UNKNOWN,Georgia,6346.0,black,black,kia motors america  inc,23100.0
2001,Lexus,LS 430,Base,automatic,Georgia,146213.0,silver,black,persichetti motorsports inc,3500.0
2005,BMW,3 Series,330Ci,manual,Georgia,64428.0,blue,gray,germain lexus,10500.0
2007,Honda,Odyssey,EX-L,automatic,Georgia,165219.0,gray,gray,momentum motorcars,5350.0
2005,Chevrolet,TrailBlazer,LS,automatic,Georgia,149985.0,burgundy,gray,santander consumer,3000.0
2011,Ford,Fusion,SE,automatic,Georgia,94258.0,gray,gray,lease plan usa,7200.0
2012,Scion,xD,Base,automatic,Georgia,29025.0,purple,black,toyota financial services,10200.0
2011,Mazda,Mazda6,i Touring,automatic,Georgia,68633.0,black,—,jpmorgan chase bank n.a.,10000.0
2009,Dodge,Journey,SXT,automatic,Georgia,138928.0,green,black,wells fargo dealer services,3600.0
2014,Ford,Escape,SE,automatic,Georgia,36188.0,gray,black,ars/avis budget group,16400.0
2012,Hyundai,Elantra,GLS,automatic,Georgia,20142.0,white,tan,hyundai motor finance,11200.0
2007,UNKNOWN,UNKNOWN,UNKNOWN,automatic,Georgia,118999.0,red,gray,wells fargo dealer services,15700.0
2014,Kia,Sportage,LX,automatic,Georgia,35205.0,silver,gray,avis corporation,14800.0
2012,Nissan,Maxima,3.5 SV,automatic,Georgia,35813.0,black,black,nissan-infiniti lt,15400.0
2012,Land Rover,Range Rover Sport,HSE,automatic,Georgia,27874.0,—,beige,morrison motors inc,42500.0
2006,Jeep,Liberty,Renegade,automatic,Georgia,78794.0,blue,gray,gm financial,6700.0
2008,Volkswagen,Jetta,SEL PZEV,automatic,Georgia,79392.0,black,black,santander consumer,6600.0
2015,Volvo,XC60,T5 Drive-E Premier,UNKNOWN,Georgia,8591.0,beige,beige,volvo na rep/world omni,29800.0
2012,Porsche,Panamera,4,automatic,Georgia,27016.0,blue,black,porsche financial services,52500.0
2009,Honda,Pilot,Touring,automatic,Georgia,119412.0,gray,gray,davis automotive,13500.0
2007,Hyundai,Santa Fe,Limited,automatic,Georgia,153659.0,silver,beige,wells fargo dealer services,4700.0
2011,Kia,Sorento,EX,automatic,Georgia,76912.0,purple,black,morris auto sales inc,12700.0
2014,Dodge,Dart,SXT,automatic,Georgia,22366.0,white,black,chrysler capital,12300.0
2014,Ford,Focus,SE,automatic,Georgia,34643.0,white,black,ars/avis budget group,11400.0
2014,Toyota,Camry,SE,UNKNOWN,Georgia,19304.0,black,black,world omni financial corporation,17900.0
2010,GMC,Sierra 1500,SL,automatic,Georgia,87015.0,silver,gray,young motors llc,14900.0
2012,Dodge,Grand Caravan,SXT,automatic,Georgia,60388.0,white,black,ge fleet services for itself/servicer,9500.0
2012,Toyota,Corolla,S,automatic,Georgia,23161.0,red,black,toyota financial services,13100.0
2012,Ford,Explorer,Base,automatic,Georgia,26769.0,silver,tan,munter motor cars,20200.0
2014,Ford,Explorer,Limited,automatic,Georgia,20386.0,red,gray,ars/enterprise,32100.0
2013,Lexus,GS 350,Base,automatic,Georgia,24080.0,white,gray,lexus financial services,33100.0
2013,Chevrolet,Impala,LT Fleet,automatic,Georgia,55404.0,gray,black,dollar thrifty automotive group,10100.0
2014,Toyota,Corolla,L,automatic,Georgia,15161.0,gray,gray,world omni financial corporation,13500.0
2008,Ford,Escape,XLT,automatic,Georgia,99258.0,gray,brown,cameron motor sports,7200.0
2013,Chevrolet,Malibu,LT,automatic,Georgia,17902.0,black,black,capital one auto finance,12500.0
2003,Nissan,Xterra,XE,automatic,Georgia,213515.0,blue,gray,five star chevrolet cadillac,1400.0
2013,Kia,Optima,LX,automatic,Georgia,16207.0,white,—,kia motors finance,14600.0
2006,BMW,3 Series,325i,automatic,Georgia,125897.0,silver,black,nalley infiniti marietta,7000.0
2007,Ford,Expedition,XLT,UNKNOWN,Georgia,111822.0,black,beige,momentum motorcars,8800.0
2015,Scion,FR-S,Base,manual,Georgia,4152.0,blue,black,world omni financial corporation,20900.0
2007,Dodge,Caravan,SXT,automatic,Georgia,164098.0,blue,gray,us bank,1800.0
2010,Kia,Forte,LX,automatic,Georgia,85058.0,white,gray,capital one auto finance,5000.0
2008,Pontiac,Grand Prix,Base,automatic,Georgia,132192.0,red,black,five star dodge,2900.0
2011,Toyota,Sienna,LE 7-Passenger Mobility Auto Access,automatic,Georgia,68637.0,gray,beige,carworks inc,15100.0
2013,Infiniti,G Sedan,G37 Journey,automatic,Georgia,15868.0,white,gray,nissan infiniti lt,24400.0
2012,Ram,1500,SLT,automatic,Georgia,98546.0,gray,black,remarketing by ge/nextgear capital,10000.0
2015,Chrysler,200,Limited,automatic,Georgia,22023.0,gray,black,lease plan usa,14500.0
2006,Hyundai,Sonata,GLS,automatic,Georgia,111604.0,gold,tan,automobile acceptance corp,3100.0
2009,Pontiac,Vibe,Base,automatic,Georgia,228776.0,white,black,ge fleet services for itself/servicer,4100.0
2000,Volkswagen,Jetta,GLS,manual,Georgia,247302.0,silver,black,autonation volkswagen mall of georgia,850.0
2013,Dodge,Charger,SE,automatic,Georgia,34148.0,white,tan,capital one auto finance,16100.0
