year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2012,Lexus,ES 350,Base,UNKNOWN,Pennsylvania,26483.0,black,brown,meridian remarketing,23300.0
2012,Honda,Civic,EX,automatic,Pennsylvania,29050.0,burgundy,tan,ahfc/honda lease trust/hvt  inc. eot,12700.0
2013,Dodge,Dart,Limited,manual,Pennsylvania,10535.0,red,black,austintown chrysler dodge jeep inc,13900.0
2013,Hyundai,Sonata,Limited,UNKNOWN,Pennsylvania,32960.0,silver,gray,hyundai motor finance,14500.0
2013,Audi,S5,Prestige quattro,manual,Pennsylvania,39275.0,black,black,daniel thomas sales,39200.0
2013,Lexus,RX 350,Base,UNKNOWN,Pennsylvania,43662.0,beige,beige,r hollenshead auto sales inc,32000.0
2012,Honda,Accord,EX-L,automatic,Pennsylvania,40278.0,gray,gray,ahfc/honda lease trust/hvt  inc. eot,13000.0
2007,Ford,Edge,SEL Plus,UNKNOWN,Pennsylvania,78896.0,silver,black,hillside honda,11400.0
2012,Nissan,Altima,2.5 S,UNKNOWN,Pennsylvania,34341.0,gray,gray,nissan-infiniti lt,15300.0
2012,Volkswagen,Golf,2.5L PZEV,UNKNOWN,Pennsylvania,54623.0,gray,black,the hertz corporation,9300.0
2012,Chevrolet,Avalanche,LT,UNKNOWN,Pennsylvania,33694.0,blue,black,tdaf remarketing,28800.0
1999,Mercury,Cougar,V6,automatic,Pennsylvania,142028.0,red,gray,hertz remarketing,600.0
2005,Lincoln,Town Car,Signature,automatic,Pennsylvania,67439.0,beige,tan,crossroad motors llc,8100.0
2010,Hyundai,Santa Fe,GLS,UNKNOWN,Pennsylvania,86208.0,white,gray,alans autos,10000.0
2012,Honda,Odyssey,EX-L,automatic,Pennsylvania,26338.0,silver,green,ahfc/honda lease trust/hvt  inc. eot,23400.0
2014,Jeep,Grand Cherokee,Limited,UNKNOWN,Pennsylvania,28588.0,silver,black,enterprise veh exchange/rental,32000.0
2008,Cadillac,DTS,Base,automatic,Pennsylvania,80918.0,black,beige,adcock brothers inc,9800.0
2012,Land Rover,Range Rover Evoque,Pure Plus,automatic,Pennsylvania,14632.0,red,black,r hollenshead auto sales inc,38000.0
2011,Hyundai,Tucson,GLS,UNKNOWN,Pennsylvania,30384.0,white,gray,charles & son auto sls inc,13600.0
2014,Ford,F-150,XLT,automatic,Pennsylvania,9749.0,white,gray,usautoland inc,27750.0
2012,Chrysler,Town and Country,Touring,automatic,Pennsylvania,36768.0,black,black,hann financial services,14600.0
2005,Ford,F-350 Super Duty,Lariat,automatic,Pennsylvania,47744.0,gray,gray,bridgewater vehicle sls inc,24250.0
2007,Pontiac,Grand Prix,GT,automatic,Pennsylvania,95607.0,black,black,joshua motor car co inc,5900.0
2013,Ford,Edge,Limited,UNKNOWN,Pennsylvania,36287.0,white,black,ford motor credit company llc,20000.0
2009,Infiniti,G37,x,UNKNOWN,Pennsylvania,46865.0,—,beige,r hollenshead auto sales inc,17000.0
2014,Ford,Fusion,Titanium,automatic,Pennsylvania,17319.0,white,gray,ars/enterprise,20300.0
2009,Chevrolet,Corvette,Base,manual,Pennsylvania,4863.0,red,black,kerbeck cadillac pontiac inc,36250.0
2006,Mercedes-Benz,E-Class,E350 4MATIC,UNKNOWN,Pennsylvania,80609.0,red,beige,r hollenshead auto sales inc,9500.0
2012,Ford,F-150,XLT,UNKNOWN,Pennsylvania,32396.0,black,gray,ford motor credit company llc,26600.0
2014,Ford,Fusion,SE,UNKNOWN,Pennsylvania,33161.0,red,beige,avis budget group,13400.0
2009,Honda,Accord,EX-L V-6,automatic,Pennsylvania,57594.0,gray,gray,congers auto sales inc,11900.0
2012,Hyundai,Veracruz,Limited,UNKNOWN,Pennsylvania,55454.0,black,brown,hyundai motor finance,18800.0
2013,Chevrolet,Silverado 1500,LT,automatic,Pennsylvania,26358.0,brown,black,gary miller chrysler jeep inc,30200.0
2007,Mercedes-Benz,R-Class,R350,UNKNOWN,Pennsylvania,111997.0,silver,black,adcock brothers inc,9400.0
2012,Jeep,Grand Cherokee,Laredo,UNKNOWN,Pennsylvania,45675.0,black,black,fiserv/usb dealer services northstar exchange,20800.0
2003,Ford,Taurus,SEL Premium,automatic,Pennsylvania,88801.0,gray,beige,manheim philadelphia,1550.0
2013,Ford,Fiesta,SE,automatic,Pennsylvania,22954.0,blue,black,fiserv/crescent ida,7200.0
2013,Chevrolet,Equinox,LT,UNKNOWN,Pennsylvania,32518.0,gray,black,shores auto sales inc,18000.0
2012,Honda,Accord,SE,automatic,Pennsylvania,16296.0,silver,black,ahfc/honda lease trust/hvt  inc. eot,14000.0
2006,Dodge,Dakota,SLT,automatic,Pennsylvania,97345.0,yellow,gray,brookside motors inc,9700.0
2001,Mercedes-Benz,M-Class,ML430,UNKNOWN,Pennsylvania,189820.0,black,black,criswell honda,1900.0
