year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2014,Chevrolet,Cruze,LS,automatic,Texas,11831.0,blue,gray,td auto finance,13100.0
2012,Chevrolet,Cruze,1LT,automatic,Texas,57590.0,silver,gray,the hertz corporation,9100.0
2006,Jeep,Grand Cherokee,Overland,automatic,Texas,119655.0,black,—,gm financial,7400.0
2008,Mazda,Mazda3,i Sport,automatic,Texas,77963.0,gray,black,santander consumer,4400.0
2006,Hyundai,Sonata,LX,automatic,Texas,126938.0,white,gray,united acceptance,2700.0
2012,Nissan,Altima,2.5 S,automatic,Texas,21237.0,white,black,nissan-infiniti lt,13800.0
2014,Ram,1500,Tradesman,UNKNOWN,Texas,23362.0,black,gray,chrysler capital,18600.0
2011,Ford,F-150,XLT,automatic,Texas,45664.0,—,gray,ford motor credit company llc,24200.0
2006,Infiniti,M35,Base,automatic,Texas,57508.0,silver,tan,austin infiniti inc,11200.0
2010,Mazda,Mazda5,Sport,automatic,Texas,86993.0,gray,black,dt credit corporation,7100.0
2013,Toyota,Prius,Two,automatic,Texas,53251.0,blue,gray,tdaf remarketing,12200.0
2013,Chevrolet,Equinox,LS,automatic,Texas,51478.0,silver,black,lease plan usa,13100.0
2007,Pontiac,G6,GT,automatic,Texas,135093.0,silver,black,dt credit corporation,3000.0
1998,Chevrolet,Malibu,LS,automatic,Texas,246083.0,gold,beige,titlemax/san antonio tx24,600.0
2014,Dodge,Charger,SE,automatic,Texas,11519.0,white,black,texas auto brokers,18200.0
1998,Ford,F-150,XL,manual,Texas,201147.0,black,beige,beck & masten pontiac gmc hummer truck inc,1500.0
2011,Dodge,Charger,Base,automatic,Texas,96348.0,black,black,manheim dallas,10600.0
2012,Ford,Fusion,S,automatic,Texas,72125.0,silver,gray,lease plan usa,8700.0
2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,automatic,Texas,18424.0,silver,black,mercedes-benz financial services,23750.0
2014,Ford,F-250 Super Duty,Platinum,automatic,Texas,9572.0,black,black,music city autoplex llc,57500.0
2013,Ford,F-150,XLT,automatic,Texas,33184.0,—,gray,ars/enterprise,23500.0
2012,Buick,LaCrosse,Convenience Group,automatic,Texas,17954.0,beige,tan,music city autoplex llc,17500.0
2008,Lexus,RX 350,Base,automatic,Texas,100879.0,gray,—,fairway ford henderson,12500.0
2003,Mercedes-Benz,M-Class,ML350,automatic,Texas,120134.0,black,tan,mercedes benz of georgetown,4300.0
2013,Nissan,Maxima,3.5 SV,automatic,Texas,55449.0,burgundy,black,the hertz corporation,14200.0
2008,Ford,Escape,XLT,automatic,Texas,104961.0,gray,black,cadillac of arlington,6500.0
2006,Nissan,Maxima,3.5 SE,automatic,Texas,100284.0,white,gray,veros credit,2300.0
2012,Ford,Fiesta,S,manual,Texas,82774.0,black,—,music city autoplex llc,5000.0
2011,Chevrolet,Silverado 1500,LT,automatic,Texas,162622.0,gray,black,tdaf remarketing,14300.0
2008,Hyundai,Tiburon,GT,automatic,Texas,73479.0,silver,red,huffines chrysler jeep dodge lewisville,5200.0
2014,Ford,Fusion,SE,automatic,Texas,27318.0,—,black,ford motor credit company llc,14100.0
2011,GMC,Sierra 1500,SLE,automatic,Texas,44440.0,black,black,gm financial,17900.0
2014,Chrysler,Town and Country,Touring,automatic,Texas,43759.0,black,gray,avis corporation,17300.0
2011,Chevrolet,Silverado 1500,LT,automatic,Texas,66912.0,blue,black,rlb investments,18000.0
2015,Chevrolet,Silverado 3500HD,Work Truck,automatic,Texas,6568.0,white,gray,capps rent a car,40600.0
2012,Volkswagen,Passat,SEL,automatic,Texas,30242.0,black,black,vw credit  inc/pilot,14200.0
2009,Ford,F-150,FX4,automatic,Texas,104532.0,white,gray,wheels lt,13900.0
2012,Dodge,Charger,SE,automatic,Texas,78759.0,gray,brown,spotless auto llc,10500.0
2012,Jeep,Grand Cherokee,Laredo,automatic,Texas,50792.0,gray,tan,don davis nissan inc,18500.0
2009,Land Rover,Range Rover Sport,HSE,automatic,Texas,124326.0,white,—,fairway ford henderson,15000.0
2011,Ford,F-150,King Ranch,automatic,Texas,112127.0,brown,brown,texas direct auto,22700.0
2010,Ford,F-150,SVT Raptor,automatic,Texas,27385.0,black,black,ford-lincoln dealer program,37700.0
2012,Dodge,Charger,SE,automatic,Texas,44252.0,blue,tan,wheels lt,15500.0
2014,Ford,F-150,XL,automatic,Texas,6206.0,white,gray,u-haul international,18300.0
2006,Chevrolet,Cobalt,LS,automatic,Texas,143632.0,yellow,gray,dt credit corporation,2300.0
2008,Chevrolet,HHR,LT,automatic,Texas,139011.0,orange,black,dt credit corporation,800.0
2012,Hyundai,Elantra,GLS,automatic,Texas,38892.0,blue,gray,hyundai motor finance,9500.0
